,Answer,Type,,Size,Questions,Flags
"Some foraging models predict that the distance bees travel when foraging will decline as ﬂoral density increases, but
biologists Shalene Jha and Claire Kremen showed that bees’ behavior is inconsistent with this prediction if ﬂowers in dense
patches are ______: bees will forage beyond patches of low species richness to acquire multiple resource types.
Which choice completes the text with the most logical and precise word or phrase?
A. depleted
B. homogeneous
C. immature
D. dispersed",B,Words in Context,,,,4
"Like the 1945 play it reimagines—Federico García Lorca’s The House of Bernarda Alba—Marcus Gardley’s 2014 play The
House That Will Not Stand prominently features women. In both plays, the all-female cast ______ an array of female
characters, including a strong mother and several daughters dealing with individual struggles.
Which choice completes the text with the most logical and precise word or phrase?
A. engulfs
B. encourages
C. comprises
D. provokes",C,Words in Context,,,,4
"The following text is adapted from Karel Čapek’s 1920 play R.U.R. (Rossum’s Universal Robots), translated by Paul Selver
and Nigel Playfair in 1923. Fabry and Busman are telling Miss Glory why their company manufactures robots.
FABRY: One Robot can replace two and a half workmen. The human machine, Miss Glory, was terribly imperfect. It had to
be removed sooner or later.
BUSMAN: It was too expensive.
FABRY: It was not effective. It no longer answers the requirements of modern engineering. Nature has no idea of keeping
pace with modern labor.
As used in the text, what does the word “answers” most nearly mean?
A. Explains
B. Rebuts
C. Defends
D. Fulﬁlls",D,Words in Context,,,,4
"Business researcher Melanie Brucks and colleagues found that remote video conference meetings may be less conducive to
brainstorming than in-person meetings are. The researchers suspect that video meeting participants are focused on staring
at the speaker on the screen and don’t allow their eyes or mind to wander as much, which may ultimately ______ creativity.
Which choice completes the text with the most logical and precise word or phrase?
A. recommend
B. criticize
C. impede
D. construct",C,Words in Context,,,,4
"As Mexico’s ﬁrst president from an Indigenous community, Benito Juarez became one of the most ______ ﬁgures in his
country’s history: among the many signiﬁcant accomplishments of his long tenure in oﬃce (1858–1872), Juarez
consolidated the authority of the national government and advanced the rights of Indigenous peoples.
Which choice completes the text with the most logical and precise word or phrase?
A. unpredictable
B. important
C. secretive
D. ordinary",B,Words in Context,,,,4
"Diadromous ﬁsh migrate between freshwater and marine biomes during their life cycle. The migration’s obligate nature is
why diadromous ﬁsh can be ______ those that are merely euryhaline (able to tolerate high salinity): the euryhaline blackchin
tilapia can survive high salinity, but its life cycle does not involve relocation to a different biome, as does that of the
diadromous wild salmon.
Which choice completes the text with the most logical and precise word or phrase?
A. demarcated from
B. reconstituted as
C. conﬂated with
D. derived from",A,Words in Context,,,,4
"The fashion resale market, in which consumers purchase secondhand clothing from stores and online sellers, generated
nearly $30 billion globally in 2019. Expecting to see continued growth, some analysts ______ that revenues will more than
double by 2028.
Which choice completes the text with the most logical and precise word or phrase?
A. produced
B. denied
C. worried
D. predicted",D,Words in Context,,,,4
"Ofelia Zepeda’s contributions to the ﬁeld of linguistics are ______: her many accomplishments include working as a
linguistics professor and bilingual poet, authoring the ﬁrst Tohono O’odham grammar book, and co-founding the American
Indian Language Development Institute.
Which choice completes the text with the most logical and precise word or phrase?
A. pragmatic
B. controversial
C. extensive
D. universal",C,Words in Context,,,,4
"The following text is from the 1913 story “The King’s Coin” by Emily Pauline Johnson, a Kanienkahagen (Mohawk) writer also
known as Tekahionwake. Fox-Foot, a young Ojibwe man, is guiding a group of fur traders who are traveling by canoe and
suspects that they are being followed.
At supper time, Fox-Foot would allow no ﬁre to be built, no landing to be made, no trace of their passing to be left. They
ate canned meat and marmalade, drank again of the stream and pushed on, until just at dusk they reached the edge of
a long, still lake, with shores of granite and dense ﬁr forest.
As used in the text, what does the word “trace” most nearly mean?
A. Evidence
B. Blemish
C. Amount
D. Sketch",A,Words in Context,,,,4
"The Cambrian explosion gets its name from the sudden appearance and rapid diversiﬁcation of animal remains in the fossil
record about 541 million years ago, during the Cambrian period. Some scientists argue that this ______ change in the fossil
record might be because of a shift in many organisms to body types that were more likely to be preserved.
Which choice completes the text with the most logical and precise word or phrase?
A. catastrophic
B. elusive
C. abrupt
D. imminent",C,Words in Context,,,,4
"Set in a world where science ﬁction tropes exist as everyday realities, Charles Yu’s 2010 novel How to Live Safely in a
Science Fictional Universe traces a time traveler’s quest to ﬁnd his father. Because the journey at the novel’s center is so
______, with the protagonist ricocheting chaotically across time, the reader often wonders whether the pair will ever be
reunited.
Which choice completes the text with the most logical and precise word or phrase?
A. haphazard
B. premeditated
C. inspirational
D. fruitless",A,Words in Context,,,,4
